"timestamp","source","message"
"2024-06-11T11:54:07.059Z","syslog","Jun 11 2024 11:52:42 GPN-0003_TRC-CR_X8-01 %%01OSPF/4/CONFLICT_ROUTERID_INTF(l):CID=0x8082047e;OSPF router ID conflict is detected on the interface.(ProcessId=801, RouterId=10.0.0.10, AreaId=0.0.0.0, InterfaceName=GigabitEthernet6/0/11.801, IpAddr=10.0.0.22, PacketSrcIp=10.0.0.10)"
"2024-06-11T11:54:08.485Z","syslog","Jun 11 2024 11:52:46 GPN-0001_TLK-CR_M14-01 %%01SNMP/4/SNMP_IPUNLOCK(s):CID=0x80d50422;The source IP was unlocked.(SourceIP=154.73.157.104, VPN=SKYWIRE.VPN)"
"2024-06-11T11:54:13.338Z","syslog","Jun 11 2024 11:52:51 GPN-0277_DAV-CLI_AR12-01 %%01SNMP/5/SNMP_LOG_IP_UNLOCK(l)[120208]:The IP address of request message was unlocked because timeout. (SourceIPType=1, SourceIP=172.31.251.25)"
"2024-06-11T11:54:14.203Z","syslog","Jun 11 2024 11:26:54 GBN-0001_TLK-CR_M14-02 %%01TCP/4/SOCKET_TCP_PACKET_MD5_AUTHEN_FAIL(l):CID=0x80650553;TCP MD5 authentication failed. (tcpConnLocalAddress=172.31.0.103, tcpConnLocalPort=54291, tcpConnRemAddress=172.31.0.9, tcpConnRemPort=179, hwTCPProtocol=BGP, hwTCPVrfName=_public_)"
"2024-06-11T11:54:14.203Z","syslog","Jun 11 2024 11:26:54 GBN-0001_TLK-CR_M14-02 %%01TCP/4/hwTCPMD5AuthenFail(t):CID=0x80650553-OID=1.3.6.1.4.1.2011.5.25.34.2.1;TCP MD5 authentication failed. (tcpConnLocalAddress=172.31.0.103, tcpConnLocalPort=54291, tcpConnRemAddress=172.31.0.9, tcpConnRemPort=179, hwTCPProtocol=BGP, hwTCPVrfName=_public_)"
"2024-06-11T11:54:16.327Z","syslog","Jun 11 2024 11:52:54 GPN-0003_TRC-CR_X8-01 %%01SOC/6/L3LOOPDETECT(l):CID=0x80c404ca-Slot=6;L3 loop detect, begin to tracert. ( ChassisID=1, SlotID=6, OperType=loop_cancel_test, IPAddr1=172.31.255.254, IPAddr2=0.0.0.0, IPAddr3=0.0.0.0, IPAddr4=0.0.0.0, IPAddr5=0.0.0.0)."
"2024-06-11T11:54:16.468Z","syslog","Jun 11 2024 11:52:54 GPN-0866_ELA-CLI_S57-01 LLDP/4/RATEEXCESSIVE:OID 1.3.6.1.4.1.2011.5.25.134.2.7 The rate of received PDUs exceeded the threshold. (IfName=GigabitEthernet0/0/5)"
"2024-06-11T11:54:16.685Z","syslog","Jun 11 2024 11:52:54 GPN-0003_TRC-CR_X8-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40461;Succeeded in establishing the OPS connection.(ServiceType=embedding-script, UserName=_soc_l3loop.py, Ip=0.0.0.0, VpnName=_public_)"
"2024-06-11T11:54:16.685Z","syslog","Jun 11 2024 11:52:54 GPN-0003_TRC-CR_X8-01 %%01OPS/5/OPS_OPER_SUCCESS(s):CID=0x80b40461;OPS operation information. (UserName=_soc_l3loop.py, Ip=0.0.0.0, SessionId=60399, Operation=""post:/dgntl/ipv4/startIpTrace:testName=""cancel_172.31.255.254"",destIpAddr=""172.31.255.254"",maxTtl=""10"",timeout=""1000"""", Result=success)"
"2024-06-11T11:54:17.409Z","syslog","Jun 11 2024 11:52:55 GPN-2623_PRO-ART-APL-PAR_S57-01 %%01SSH/5/SSH_CONNECT_CLOSED(s)[25804]:SSH connect was closed. (IP=172.31.251.24, VPNInstanceName= , UserName=)"
"2024-06-11T11:54:17.484Z","syslog","Jun 11 2024 11:52:55 GPN-0003_TRC-CR_X8-01 %%01INFO/3/SUPPRESS_LOGINFO(l):CID=0x80600410;Log SNMP/SNMP_AUTHEN_FAILED is suppressed 2 in last 60 seconds."
"2024-06-11T11:54:17.484Z","syslog","Jun 11 2024 11:52:55 GPN-0003_TRC-CR_X8-01 %%01INFO/4/SUPPRESS_LOGINFO(l):CID=0x80600410;Log SNMP/AUTHENTICATIONFAILURE is suppressed 2 in last 60 seconds."
"2024-06-11T11:54:21.097Z","syslog","Jun 11 2024 11:52:59 GPN-0003_TRC-CR_X8-01 %%01SNMP/3/SNMP_AUTHEN_FAILED(s):CID=0x80d50412;Failed to login through SNMP. (Version=v1, UserName=**, Ip=192.168.100.6, VpnName=SKYWIRE.VPN, RequestID=3628, PduType=Get, Reason=Community is incorrect)"
"2024-06-11T11:54:21.457Z","syslog","Jun 11 2024 11:52:59 GPN-0866_ELA-CLI_S57-01 LLDP/4/RATEEXCESSIVE:OID 1.3.6.1.4.1.2011.5.25.134.2.7 The rate of received PDUs exceeded the threshold. (IfName=GigabitEthernet0/0/5)"
"2024-06-11T11:54:22.151Z","syslog","Jun 11 2024 11:53:00 GPN-0004_CHB-DS_S97-01 %%01FTPS/5/REQUEST(l)[303990]:The user had a request. (UserName="""", IpAddress=172.31.251.24, VpnInstanceName="""", Request=QUIT
)"
"2024-06-11T11:54:22.151Z","syslog","Jun 11 2024 11:53:00 GPN-0004_CHB-DS_S97-01 %%01INFO/4/SUPPRESS_LOG(l)[303989]:Last message repeated 5 times.(InfoID=4278652937, ModuleName=SECE, InfoAlias=PORT_ATTACK_END)"
"2024-06-11T11:54:22.158Z","syslog","Jun 11 2024 11:53:00 GPN-0002_GST-DS_S97-01 %%01FTPS/5/REQUEST(l)[141828]:The user had a request. (UserName="""", IpAddress=172.31.251.24, VpnInstanceName=""IMS.VPN"", Request=QUIT
)"
"2024-06-11T11:54:22.411Z","syslog","Jun 11 2024 11:53:00 GBN-0002_GST-CR_M14-01 %%01SSH/5/SSH_USER_LOGIN_FAIL(s):CID=0x80930446;The SSH user failed to login. (ServiceType=**, FailedReason=TCP disconnect from client, UserName=Could not extract user name, UserAddress=172.31.251.24, LocalAddress=172.16.205.2, VPNInstanceName=IMS.VPN)"
"2024-06-11T11:54:24.511Z","syslog","Jun 11 2024 11:53:02 GPN-0001_TLK-CR_M14-01 %%01INFO/4/SUPPRESS_LOGINFO(l):CID=0x8060041d;Log SNMP/AUTHENTICATIONFAILURE is suppressed 2 in last 60 seconds."
"2024-06-11T11:54:24.512Z","syslog","Jun 11 2024 11:53:02 GPN-0001_TLK-CR_M14-01 %%01INFO/3/SUPPRESS_LOGINFO(s):CID=0x8060041d;Log SNMP/SNMP_AUTHEN_FAILED is suppressed 2 in last 60 seconds."
"2024-06-11T11:54:25.387Z","syslog","Jun 11 2024 11:53:03 GPN-0004_CHB-DS_S97-01 %%01SECE/6/PORT_ATTACK_END(l)[303991]:Auto port-defend stop.(SourceAttackInterface=GigabitEthernet2/1/17, AttackProtocol=ICMP)"
"2024-06-11T11:54:26.718Z","syslog","Jun 11 2024 11:53:04 GPN-0003_TRC-CR_X8-01 %%01OPS/5/OPS_OPER_SUCCESS(s):CID=0x80b40461;OPS operation information. (UserName=_soc_l3loop.py, Ip=0.0.0.0, SessionId=60399, Operation=""post:/dgntl/ipv4/stopIpTrace:testName=""cancel_172.31.255.254"""", Result=success)"
"2024-06-11T11:54:26.719Z","syslog","Jun 11 2024 11:53:04 GPN-0003_TRC-CR_X8-01 %%01OPS/5/OPS_OPER_SUCCESS(s):CID=0x80b40461;OPS operation information. (UserName=_soc_l3loop.py, Ip=0.0.0.0, SessionId=60399, Operation=""post:/dgntl/ipv4/deleteIpTrace:testName=""cancel_172.31.255.254"""", Result=success)"
